2025-11-10	88000	89500	88200	89100	88750
2025-11-11	89100	90200	89150	89800	89650
2025-11-12	89800	91000	89900	90700	90300
2025-11-13	90700	91500	90800	91200	91000
2025-11-14	91200	91800	91300	91600	91450
2025-11-15	91600	92500	91700	92300	92000
2025-11-16	92300	93100	92400	92900	92650
2025-11-17	92900	93800	93000	93500	93250
2025-11-18	93500	94200	93600	94000	93800
2025-11-19	94000	94800	94100	94600	94350
2025-11-20	94600	95200	94700	95000	94850
2025-11-21	95000	95800	95100	95600	95350
2025-11-22	95600	96300	95700	96100	95900
2025-11-23	96100	96900	96200	96700	96450
2025-11-24	96700	97200	96800	97000	96900
2025-11-25	97000	97800	97100	97600	97350
2025-11-26	97600	98300	97700	98100	97900
2025-11-27	98100	98900	98200	98700	98450
2025-11-28	98700	99400	98800	99200	99000
2025-11-29	99200	99800	99300	99600	99450
2025-11-30	99600	100200	99700	100000	99900
2025-12-01	100000	100800	100100	100500	100300
2025-12-02	100500	101200	100600	101000	100800
2025-12-03	101000	101600	101100	101400	101250
2025-12-04	101400	101900	101500	101700	101600
2025-12-05	101700	102200	101800	102000	102000
2025-12-06	102000	102500	102100	102300	102200
2025-12-07	102300	102700	102400	102500	102450
2025-12-08	102500	102800	102600	102700	102650
2025-12-09	90308.83	90569.75	90308.83	90569.75	90392.70
